COMPLEXID,SEGMENTID,the_geom,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
0,179357,-73.81678346994171 40.78815244048363,N,2,1031297,8,0,4,04/13/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,40074101,0,14 AV OV BELT CROSS ISL PKWY
0,91318,-73.82615714925024 40.759793469864405,N,1,1031312,8,0,4,04/13/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,40078101,0,UNION ST OVER LIRR PORT WASH BR
0,91681,-73.81611636010126 40.76254832987148,N,2,1031316,8,0,4,04/13/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,42319006,0,149 ST BR OVR LIRR PORT WASH BR
0,75558,-73.90009437988503 40.743127348304334,N,1,1031323,8,0,4,04/13/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,41374004,0,65 STREET OVER LIRR
0,74443,-73.89208418942773 40.742917689833284,N,1,1031341,8,0,4,04/13/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,40078201,0,WOODSIDE AVE OVER CSX TRANSPORT
0,257136,-73.84692456827754 40.67036293740125,N,2,1031365,8,0,4,04/13/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,45871340,0,WHITELAW ST PEDESTRIAN
0,304455,-73.93118460874322 40.714284752256745,N,2,1006964,8,0,3,07/28/2011 12:00:00 AM +0000,12/27/2016 12:00:00 AM +0000,6,OTHER,36053004,0,METROPOLITAN AVENUE
0,150259,-73.92637826650677 40.82048017668885,N,1,1031488,8,0,2,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,20067901,0,GND CNCSE OV METRO N HDSN LINE
0,194756,-74.15703294978515 40.63386360065345,N,2,1031583,8,0,5,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,50037201,0,DE HART AVE OVER B&O RAILRD
427,21100,-73.99894475023616 40.649171999742244,N,1,1031733,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,30065501,0,7 AVENUE OVER NYCT YARD
0,17662,-74.02602928082112 40.64029905046202,N,1,1031739,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,30063801,0,2 AVENUE OVER LIRR BAY RIDGE
0,231282,-74.04081905162191 40.63011094869236,N,1,1031762,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,37016514,0,SHORE PKWY GREENWAY-80 ST PED
0,121371,-73.96208283008812 40.62900379007517,N,1,1031764,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,37016510,0,15 ST FOOTBRIDGE
0,26677,-73.97441486921457 40.627605399967955,N,2,1031769,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,30079101,0,EAST    3 ST OVER LIRR BAY RIDGE
0,20032,-73.99596006011926 40.624335399887755,N,1,1031780,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,30658003,0,15 AVE BR OVR LIRR NYCT SEABCH
0,160982,-74.03563055054612 40.61066225946751,N,1,1031792,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,30064901,0,4 AVENUE OVER BELT SHORE PKWY
0,160861,-74.01912188974434 40.603739510700166,N,2,1031797,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,30066001,0,BAY    8 ST OVER BELT SHORE PKWY
0,161481,-74.01175731417418 40.60170197019225,N,1,1031799,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,37016509,0,17 AV PEDESTRIAN
0,19346,-73.9798086906056 40.60100174043656,N,1,1031800,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,30066701,0,AVENUE S OVER NYCT SEA BEACH
0,232702,-73.99171480106999 40.5876587179724,N,1,1031807,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,37016523,0,27 AV PEDESTRIAN
0,191114,-73.98571395982323 40.58148618014492,N,1,1031822,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,33063009,0,CROPSEY AVENUE BRIDGE NB RB
0,157501,-73.98598633024964 40.58139084002016,N,2,1031823,8,0,3,04/16/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,33063008,0,CROPSEY AVENUE BRIDGE SB RB
34,142343,-73.98246961982039 40.78895757034853,N,2,1031157,8,0,1,04/12/2018 12:00:00 AM +0000,04/13/2018 12:00:00 AM +0000,6,DCP,10098601,0,H HUDSON PKWY OVR RIVERSIDE PRK
0,155996,-73.83664365296013 40.76263658211576,N,1,19965,8,0,4,03/15/2008 12:00:00 AM +0000,04/09/2018 12:00:00 AM +0000,6,DCP,45779013,0,FLUSHING
0,295143,-73.934275932126 40.82800203010809,N,1,1026940,8,0,1,10/23/2015 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DoITT,19794002,0,MACOMBS DAM BRIDGE PEDESTRIAN
0,34676,-73.97503616182371 40.71881021363687,N,1,1031159,8,0,1,04/12/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,10099601,0,HOUSTON STREET OVER FDR DRIVE
444,262688,-73.97382425891792 40.766922576796944,N,1,1031119,8,0,1,04/12/2018 12:00:00 AM +0000,04/19/2018 12:00:00 AM +0000,6,DCP,10097401,0,E   62 ST PED BRDGE OVER THE PND
